user,name,gender,followers_millions,activity,country
BarackObama,Barack Obama,0,118,Former U.S. president,United States
justinbieber,Justin Bieber,0,111,Musician,Canada
katyperry,Katy Perry,1,108,Musician,United States
rihanna,Rihanna,1,96,Musician and businesswoman,Barbados
taylorswift13,Taylor Swift,1,86,Musician,United States
Cristiano,Cristiano Ronaldo,0,84,Footballer,Portugal
ladygaga,Lady Gaga,1,81,Musician and actress,United States
realDonaldTrump,Donald Trump,0,80,Current U.S. president,United States
TheEllenShow,Ellen DeGeneres,1,80,Comedian and television hostess,United States
ArianaGrande,Ariana Grande,1,74,Musician and actress,United States
KimKardashian,Kim Kardashian,1,65,Television personality and businesswoman,United States
jtimberlake,Justin Timberlake,0,64,Musician and actor,United States
selenagomez,Selena Gomez,1,61,Musician and actress,United States
narendramodi,Narendra Modi,0,57,Current Prime Minister of India,India
britneyspears,Britney Spears,1,56,Musician,United States
ddlovato,Team Demi,1,55,Musician,United States
shakira,Shakira,1,52,Musician,Colombia
jimmyfallon,Jimmy Fallon,0,51,Comedian,United States
BillGates,Bill Gates,0,50,Businessman and philanthropist,United States
neymarjr,Neymar,0,47,Footballer,Brazil
KingJames,LeBron James,0,46,Basketball player,United States
JLo,Jennifer Lopez,1,45,Musician and actress,United States
MileyCyrus,Miley Cyrus,1,44,Musician and actress,United States
BrunoMars,Bruno Mars,0,43,Musician,United States
Oprah,Oprah Winfrey,1,43,Television personality and businesswoman,United States
SrBachchan,Amitabh Bachchan,0,42,Actor,India
BeingSalmanKhan,Salman Khan,0,40,Actor and film producer,India
iamsrk,Shah Rukh Khan,0,40,Actor and film producer,India
NiallOfficial,Niall Horan,0,39,Musician,Ireland
Drake,Drake,0,39,Rapper,Canada
akshaykumar,Akshay Kumar,0,36,Actor,India
wizkhalifa,Wiz Khalifa,0,36,Rapper,United States
KevinHart4real,Kevin Hart,0,36,Comedian and actor,United States
imVkohli,Virat Kohli,0,35,Cricketer,India
LilTunechi,Lil Wayne,0,34,Rapper,United States
elonmusk,Elon Musk,0,34,Industrial designer and tech entrepreneur,South Africa
Harry_Styles,Harry Styles,0,34,Musician,United Kingdom
Louis_Tomlinson,Louis Tomlinson,0,33,Musician,United Kingdom
aliciakeys,Alicia Keys,1,30,Musician,United States
EmmaWatson,Emma Watson,1,29,Actor,United States
HillaryClinton,Hillary Clinton,1,28,Politician,United States
Adele,Adele,1,27,Musician,United Kingdom
priyankachopra,PRIYANKA,1,26,Television personality and businesswoman,India
kourtneykardash,Kourtney Kardashian,1,25,Television personality and businesswoman,United States
AvrilLavigne,Avril Lavigne,1,21,Musician,United States
MariahCarey,Mariah Carey,1,21,Musician,United States
AnushkaSharma,Anushka Sharma,1,21,Television personality and businesswoman,India
NICKIMINAJ,Mrs. Petty,1,20,Musician,United States
